Fighter_1,Fighter_2,Fight_ID,F1_W,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score
Ji Yeon Kim,Justine Kish,8782,1,Sal D'Amato,28-29,Steve Elliott,30-27,Cardo Urso,29-28
Sergio Moraes,Tim Means,8798,1,Phillipe Iorio,29-28,Marcos Rosales,28-29,Tony Weeks,29-28
Eryk Anders,Lyoto Machida,8801,0,Guilherme Bravo,48-47,Marcos Rosales,47-48,Tony Weeks,49-46
Andre Fili,Dennis Bermudez,8792,1,Pedro Claudio,29-28,Derek Cleary,29-28,Steve Elliott,27-30
Ashley Yoder,Mackenzie Dern,8881,0,Adalaide Byrd,28-29,Derek Cleary,29-28,Junichiro Kamijo,29-28
John Dodson,Pedro Munhoz,8879,1,Adalaide Byrd,30-27,Sal D'Amato,28-29,Glenn Trowbridge,29-28
Kajan Johnson,Stevie Ray,8906,1,David Lethaby,29-28,Andy Roberts,29-28,Paul Sutherland,28-29
Adam Milstead,Jordan Johnson,8875,0,Chris Lee,29-28,Marcos Rosales,27-30,Tony Weeks,29-28
Felice Herrig,Karolina Kowalkiewicz,8952,0,Derek Cleary,29-28,Sal D'Amato,29-28,Chris Lee,28-29
Bryan Caraway,Cody Stamann,8876,0,Adalaide Byrd,29-28,Sal D'Amato,29-28,Glenn Trowbridge,28-29
